Date,Open,High,Low,Close,Volume,Ticker
2024-08-14,124.33996666631035,137.83694457466467,116.35294995602443,125.28592681884766,239989000.0,MMM
2024-11-14,125.9613108892349,151.9732466904117,122.39239137184141,149.22792053222656,216085600.0,MMM
2025-02-14,147.04481078349934,154.11220131547054,120.23412919702358,136.92181396484375,256591200.0,MMM
2025-05-15,136.97317098895576,162.59867934845178,136.32931991930806,147.80978393554688,212574600.0,MMM
2024-08-14,83.38226055332979,90.28665027118157,73.3689361881825,73.65335083007812,63410000.0,AOS
2024-11-14,74.29013106735479,76.76285102274282,64.55684871692512,66.30056762695312,69428600.0,AOS
2025-02-14,66.05296768008202,70.25120551103372,58.25058106574459,67.19164276123047,92698300.0,AOS
2025-05-15,67.90248623395847,76.93889471919998,61.90142881076823,70.4501953125,107865700.0,AOS
2024-08-14,104.63901081853501,117.59010883738111,104.32504503279132,111.2322998046875,327476300.0,ABT
2024-11-14,118.04573056566358,128.00199444213257,109.282252714479,126.10931396484375,351177000.0,ABT
2025-02-14,125.50269466790283,139.95061048712887,119.37867822886994,129.5655517578125,432746600.0,ABT
2025-05-15,128.9213048434895,138.4385817512461,119.23478184034346,125.6260986328125,423828500.0,ABT
2024-08-14,181.28656254453915,200.16153069890814,176.71987237572452,196.8306427001953,310452200.0,ABBV
2024-11-14,198.88903802336316,200.62129937950849,159.4168107424797,178.968017578125,400754900.0,ABBV
2025-02-14,179.94841602231395,214.8025050752838,161.48990710156022,191.65814208984375,464619600.0,ABBV
2025-05-15,191.2283601232725,197.27611632647643,175.05802619654213,187.4014129638672,400088100.0,ABBV
2024-08-14,327.84581955334846,370.52036222736257,304.6232500132947,338.5881042480469,148248400.0,ACN
2024-11-14,342.05639947310385,381.5525037890313,336.77183235367346,379.5313720703125,156577200.0,ACN
2025-02-14,377.3719859086028,394.41183584108364,272.2912041280303,296.1925354003906,219994200.0,ACN
2025-05-15,299.313016096204,324.08909513088463,264.80560846271794,265.7707824707031,211967000.0,ACN
2024-08-14,549.989990234375,587.75,477.3800048828125,478.0799865722656,173811800.0,ADBE
2024-11-14,475.4100036621094,557.9000244140625,403.75,437.45001220703125,239302700.0,ADBE
2025-02-14,437.79998779296875,465.70001220703125,332.010009765625,374.9800109863281,239334100.0,ADBE
2025-05-15,378.29998779296875,422.95001220703125,354.2699890136719,357.69000244140625,223728100.0,ADBE
2024-08-14,145.0,174.0500030517578,121.83000183105469,144.07000732421875,2662712300.0,AMD
2024-11-14,144.44000244140625,150.7100067138672,112.80000305175781,115.94999694824219,2204968100.0,AMD
2025-02-14,113.87999725341797,119.8499984741211,76.4800033569336,97.3499984741211,2456156500.0,AMD
2025-05-15,99.2699966430664,182.5,96.44999694824219,176.30999755859375,3172228200.0,AMD
2024-08-14,16.473365014533655,18.978960346145048,14.958787041919683,15.416899681091309,534250900.0,AES
2024-11-14,15.190654770385166,15.294506932009508,10.205778923855673,10.38515853881836,912239700.0,AES
2025-02-14,10.47760952517574,12.832890132312423,9.275736916388997,9.69251537322998,939762000.0,AES
2025-05-15,9.595589564506403,13.56952111913648,9.169119307476233,12.745656967163086,1112766900.0,AES
2024-08-14,101.71961742777492,112.55619967477331,93.52397073753852,102.11917114257812,150725800.0,AFL
2024-11-14,103.09831433698668,113.02724239625748,97.9184285692057,105.14480590820312,117125200.0,AFL
2025-02-14,103.99706628267674,111.59052754935993,95.60686847967852,106.89871215820312,128958000.0,AFL
2025-05-15,104.35133902937454,106.79444741595806,96.98245602166055,98.27819061279297,144839400.0,AFL
2024-08-14,141.15413412295183,148.93427931322498,128.36253800072978,129.31520080566406,95462000.0,A
2024-11-14,138.29760815224282,152.90860733799104,124.1338815113465,150.6026611328125,112336100.0,A
2025-02-14,149.12843340057594,149.68608455711848,96.02334004941162,107.14623260498047,130782900.0,A
2025-05-15,107.02460815373034,126.17428173658006,103.8812265314381,114.56871795654297,126591200.0,A
2024-08-14,281.61418808811277,324.37201495121656,260.8695427238306,303.00286865234375,84657200.0,APD
2024-11-14,304.13766334260765,331.77940687068764,276.7805910068993,329.08984375,88808200.0,APD
2025-02-14,326.78469725271475,336.91771869732315,240.67384700242684,267.7347106933594,83972700.0,APD
2025-05-15,256.9787492342523,298.6128387390578,252.3980044612873,286.0530700683594,73934400.0,APD
2024-08-14,139.6999969482422,139.77999877929688,110.37999725341797,134.7899932861328,296323200.0,ABNB
2024-11-14,133.9600067138672,148.63999938964844,125.63999938964844,131.1699981689453,291087000.0,ABNB
2025-02-14,129.19000244140625,163.92999267578125,99.87999725341797,121.91999816894531,363380700.0,ABNB
2025-05-15,121.91999816894531,143.8800048828125,120.13400268554688,132.41000366210938,300913400.0,ABNB
2024-08-14,98.01000213623047,106.80000305175781,90.55999755859375,101.08000183105469,94839300.0,AKAM
2024-11-14,101.16000366210938,105.26000213623047,84.69999694824219,99.9000015258789,116870200.0,AKAM
2025-02-14,98.4000015258789,103.75,67.51000213623047,80.58000183105469,163880700.0,AKAM
2025-05-15,81.30000305175781,86.1500015258789,74.69000244140625,76.30999755859375,146482400.0,AKAM
2024-08-14,92.08085257212387,103.09136944664249,70.50062842573553,92.79595184326172,184505800.0,ALB
2024-11-14,93.48825803682698,112.09734542462303,81.75794367243893,82.85028076171875,128673800.0,ALB
2025-02-14,80.52864461642885,83.70987792731857,48.83487699230668,57.84507369995117,197342200.0,ALB
2025-05-15,60.97219134798235,85.63130866228765,53.351911013373496,67.41018676757812,257924300.0,ALB
2024-08-14,111.94899107869865,118.7349244752221,102.64905278721614,105.42769622802734,73710800.0,ARE
