ticker,date,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Capital Expenditure,Income Tax Paid Supplemental Data,End Cash Position,Beginning Cash Position,Changes In Cash,Financing Cash Flow,Cash Flow From Continuing Financing Activities,Net Other Financing Charges,Cash Dividends Paid,Common Stock Dividend Paid,Net Common Stock Issuance,Common Stock Payments,Net Issuance Payments Of Debt,Net Short Term Debt Issuance,Short Term Debt Payments,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Cash Flow From Continuing Investing Activities,Net Other Investing Changes,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net PPE Purchase And Sale,Purchase Of PPE,Operating Cash Flow,Cash Flow From Continuing Operating Activities,Change In Working Capital,Change In Other Current Liabilities,Change In Other Current Assets,Change In Payables And Accrued Expense,Change In Payable,Change In Account Payable,Change In Inventory,Change In Receivables,Changes In Account Receivables,Other Non Cash Items,Stock Based Compensation,Depreciation Amortization Depletion,Depreciation And Amortization,Net Income From Continuing Operations,Interest Paid Supplemental Data,Effect Of Exchange Rate Changes,Preferred Stock Dividend Paid,Net Business Purchase And Sale,Sale Of Business,Sale Of PPE,Change In Other Working Capital,Unrealized Gain Loss On Investment Securities,Asset Impairment Charge,Operating Gains Losses,Gain Loss On Investment Securities,Short Term Debt Issuance,Purchase Of Business,Change In Accrued Expense,Deferred Tax,Deferred Income Tax,Issuance Of Capital Stock,Common Stock Issuance,Capital Expenditure Reported,Amortization Cash Flow,Amortization Of Intangibles,Depreciation,Gain Loss On Sale Of Business,Net Preferred Stock Issuance,Preferred Stock Payments,Preferred Stock Issuance,Earnings Losses From Equity Investments,Proceeds From Stock Option Exercised,Dividends Received Cfi,Amortization Of Securities,Net Foreign Currency Exchange Gain Loss,Change In Prepaid Assets,Cash From Discontinued Operating Activities,Dividend Received Cfo,Change In Tax Payable,Change In Income Tax Payable,Depletion,Excess Tax Benefit From Stock Based Compensation,Provisionand Write Offof Assets,Cash From Discontinued Financing Activities,Cash From Discontinued Investing Activities,Taxes Refund Paid,Other Cash Adjustment Outside Changein Cash,Net Intangibles Purchase And Sale,Purchase Of Intangibles,Pension And Employee Benefit Expense,Cash Flow From Discontinued Operation,Interest Received Cfo,Interest Paid Cfo,Change In Interest Payable,Gain Loss On Sale Of PPE
ULTA,2025-01-31,962642000.0,-238139000.0,,0.0,-73922000.0,69269000.0,703201000.0,177782000.0,525419000.0,-434700000.0,-434700000.0,0.0,,,-238139000.0,-238139000.0,-199700000.0,,,-199700000.0,,0.0,-76445000.0,-76445000.0,,-2523000.0,,-7346000.0,,,1036564000.0,1036564000.0,528395000.0,-83568000.0,,28167000.0,-23913000.0,-23913000.0,396972000.0,-9713000.0,,74686000.0,15096000.0,69967000.0,69967000.0,393270000.0,,,,,,,190136000.0,,,4286000.0,,,,52080000.0,-49136000.0,-49136000.0,,,-73922000.0,,,,,,,,628000.0,3139000.0,,,,6401000.0,,,,,,,,,,,,,,,,,,,4286000.0
ULTA,2024-10-31,-171073000.0,-263723000.0,,0.0,-114235000.0,83541000.0,177782000.0,413962000.0,-236180000.0,-64090000.0,-64090000.0,-71000.0,,,-263723000.0,-263723000.0,-199700000.0,,,-199700000.0,,0.0,-115252000.0,-115252000.0,,-1017000.0,,-7346000.0,,,-56838000.0,-56838000.0,-452271000.0,-79488000.0,,12352000.0,24495000.0,24495000.0,-366900000.0,-12758000.0,,72469000.0,8419000.0,67022000.0,67022000.0,242179000.0,,,,,,,-1986000.0,,,2076000.0,,,,-12143000.0,3268000.0,3268000.0,,,-114235000.0,,,,,,,,628000.0,4000.0,,,,-3491000.0,,,,,,,,,,,,,,,,,,,2076000.0
ULTA,2024-07-31,104262000.0,-212513000.0,,0.0,-95277000.0,228192000.0,413962000.0,524596000.0,-110634000.0,-212368000.0,-212368000.0,-138000.0,,,-212513000.0,-212513000.0,-199700000.0,,,-199700000.0,,0.0,-97805000.0,-97805000.0,,-2528000.0,,-2528000.0,,,199539000.0,199539000.0,-214198000.0,-87279000.0,,113996000.0,103784000.0,103784000.0,-92246000.0,2600000.0,,85543000.0,9190000.0,65314000.0,65314000.0,252556000.0,2380000.0,,,,,,-145775000.0,,,2229000.0,,,,10212000.0,-1095000.0,-1095000.0,,,-95277000.0,,,,,,,,628000.0,283000.0,,,,-5494000.0,,,,,,,,,,,,,,,,,,,2229000.0
ULTA,2024-04-30,68316000.0,-312714000.0,,0.0,-91024000.0,5057000.0,524596000.0,766594000.0,-241998000.0,-307751000.0,-307751000.0,-3950000.0,,,-312714000.0,-312714000.0,-199700000.0,,,-199700000.0,,0.0,-93587000.0,-93587000.0,,-2563000.0,,-2563000.0,,,159340000.0,159340000.0,-313142000.0,-83500000.0,,-117915000.0,-74069000.0,-74069000.0,-163904000.0,4476000.0,,77938000.0,10082000.0,64739000.0,64739000.0,313113000.0,51695000.0,,,,,,58632000.0,,,2975000.0,,,,-43846000.0,3635000.0,3635000.0,,,-91024000.0,,,,,,,,0.0,8913000.0,,,,-10931000.0,,,,,,,,,,,,,,,,,,,2975000.0
ULTA,2024-01-31,68316000.0,-312714000.0,,0.0,-91024000.0,5057000.0,524596000.0,766594000.0,-241998000.0,-307751000.0,-307751000.0,-3950000.0,,,-312714000.0,-312714000.0,-195400000.0,,,-195400000.0,,0.0,-93587000.0,-93587000.0,,-2563000.0,,-2563000.0,,,159340000.0,159340000.0,-313142000.0,-83500000.0,,-117915000.0,-74069000.0,-74069000.0,-163904000.0,4476000.0,,77938000.0,10082000.0,64739000.0,64739000.0,313113000.0,-50609000.0,,,,,,58632000.0,,,2975000.0,,,,-43846000.0,3635000.0,3635000.0,,,-91024000.0,,,,,,,,0.0,8913000.0,,,,-10931000.0,,,,,,,,,,,,,,,,,,,2975000.0
V,2025-06-30,6309000000.0,-4782000000.0,,,-421000000.0,532000000.0,24441000000.0,19136000000.0,4646000000.0,-1828000000.0,-1828000000.0,343000000.0,-1154000000.0,-1154000000.0,-4782000000.0,-4782000000.0,,,,,,,-256000000.0,-256000000.0,-18000000.0,183000000.0,200000000.0,-17000000.0,-421000000.0,-421000000.0,6730000000.0,6730000000.0,-3529000000.0,,382000000.0,673000000.0,805000000.0,31000000.0,,-521000000.0,-178000000.0,3979000000.0,223000000.0,317000000.0,317000000.0,5272000000.0,278000000.0,659000000.0,,0.0,,,-4063000000.0,,,35000000.0,,,0.0,-132000000.0,433000000.0,433000000.0,,,,,,,,,,,35000000.0,-159000000.0,,,,,,,,,,,,,,,,,,,,,,,
V,2025-03-31,4368000000.0,-4596000000.0,,,-327000000.0,1861000000.0,19136000000.0,19966000000.0,-1095000000.0,-5660000000.0,-5660000000.0,-19000000.0,-1164000000.0,-1164000000.0,-4596000000.0,-4596000000.0,,,,,,,-130000000.0,-130000000.0,-30000000.0,208000000.0,226000000.0,-18000000.0,-327000000.0,-327000000.0,4695000000.0,4695000000.0,-4091000000.0,,-390000000.0,457000000.0,527000000.0,9000000.0,,-617000000.0,-92000000.0,3746000000.0,259000000.0,305000000.0,305000000.0,4577000000.0,48000000.0,265000000.0,,19000000.0,,,-3541000000.0,,,23000000.0,,,19000000.0,-70000000.0,-124000000.0,-124000000.0,,,,,,,,,,,23000000.0,119000000.0,,,,,,,,,,,,,,,,,,,,,,,
V,2024-12-31,5051000000.0,-4011000000.0,,,-345000000.0,1194000000.0,19966000000.0,19763000000.0,711000000.0,-5475000000.0,-5475000000.0,-421000000.0,-1170000000.0,-1170000000.0,-4011000000.0,-4011000000.0,,,,,,,790000000.0,790000000.0,5000000.0,2036000000.0,2042000000.0,-6000000.0,-345000000.0,-345000000.0,5396000000.0,5396000000.0,-4168000000.0,,-10000000.0,-1102000000.0,-727000000.0,-54000000.0,,593000000.0,-64000000.0,3826000000.0,224000000.0,282000000.0,282000000.0,5119000000.0,213000000.0,-508000000.0,,-906000000.0,,,-3649000000.0,,,75000000.0,,,-906000000.0,-375000000.0,38000000.0,38000000.0,,,,,,,,,,,75000000.0,127000000.0,,,,,,,,,,,,,,,,,,,,,,,
V,2024-09-30,6355000000.0,-5848000000.0,0.0,,-309000000.0,1076000000.0,19763000000.0,19276000000.0,179000000.0,-7069000000.0,-7069000000.0,-437000000.0,-1041000000.0,-1170000000.0,-5848000000.0,-5848000000.0,0.0,,,0.0,0.0,,584000000.0,584000000.0,-42000000.0,935000000.0,1147000000.0,-212000000.0,-309000000.0,-309000000.0,6664000000.0,6664000000.0,-2746000000.0,,-26000000.0,3320000000.0,2742000000.0,136000000.0,,-2290000000.0,-23000000.0,3585000000.0,188000000.0,274000000.0,274000000.0,5318000000.0,49000000.0,308000000.0,,0.0,,,-3750000000.0,,,46000000.0,,,0.0,578000000.0,-1000000.0,-1000000.0,,,,,,,,,,,46000000.0,257000000.0,,,,,,,,,,,,,,,,,,,,,,,
V,2024-06-30,4734000000.0,-4527000000.0,0.0,,-400000000.0,1041000000.0,19276000000.0,18948000000.0,378000000.0,-5311000000.0,-5311000000.0,377000000.0,-1056000000.0,-1056000000.0,-4527000000.0,-4527000000.0,0.0,,,0.0,0.0,,555000000.0,555000000.0,-4000000.0,959000000.0,1721000000.0,-762000000.0,-400000000.0,-400000000.0,5134000000.0,5134000000.0,-3777000000.0,,85000000.0,-1812000000.0,-1910000000.0,-2000000.0,,1179000000.0,-248000000.0,3573000000.0,211000000.0,264000000.0,264000000.0,4872000000.0,273000000.0,-50000000.0,,0.0,,,-3229000000.0,,,22000000.0,,,0.0,98000000.0,-31000000.0,-31000000.0,,,,,,,,,,,22000000.0,-105000000.0,,,,,,,,,,,,,,,,,,,,,,,
V,2024-03-31,4734000000.0,-4527000000.0,0.0,,-400000000.0,1041000000.0,19276000000.0,18948000000.0,378000000.0,-5311000000.0,-5311000000.0,377000000.0,-1056000000.0,-1060000000.0,-4527000000.0,-4527000000.0,0.0,,,0.0,0.0,,555000000.0,555000000.0,-4000000.0,959000000.0,1721000000.0,-762000000.0,-400000000.0,-400000000.0,5134000000.0,5134000000.0,-3777000000.0,,85000000.0,-1812000000.0,-1910000000.0,-2000000.0,,1179000000.0,-248000000.0,3573000000.0,211000000.0,264000000.0,264000000.0,4872000000.0,273000000.0,-50000000.0,,0.0,,,-3229000000.0,,,22000000.0,,,0.0,98000000.0,-31000000.0,-31000000.0,,,,,,,,,,,22000000.0,-105000000.0,,,,,,,,,,,,,,,,,,,,,,,
V,2023-12-31,4734000000.0,-4527000000.0,0.0,,-400000000.0,1041000000.0,19276000000.0,18948000000.0,378000000.0,-5311000000.0,-5311000000.0,377000000.0,-1056000000.0,-1060000000.0,-4527000000.0,-4527000000.0,0.0,,,0.0,0.0,,555000000.0,555000000.0,-4000000.0,959000000.0,1721000000.0,-762000000.0,-400000000.0,-400000000.0,5134000000.0,5134000000.0,-3777000000.0,,85000000.0,-1812000000.0,-1910000000.0,-2000000.0,,1179000000.0,-248000000.0,3573000000.0,211000000.0,264000000.0,264000000.0,4872000000.0,273000000.0,-50000000.0,,0.0,,,-3229000000.0,,,22000000.0,,,0.0,98000000.0,-31000000.0,-31000000.0,,,,,,,,,,,22000000.0,-105000000.0,,,,,,,,,,,,,,,,,,,,,,,
VRSN,2025-06-30,194700000.0,-166800000.0,0.0,-600000.0,-7800000.0,129400000.0,319600000.0,580800000.0,-261600000.0,-251100000.0,-251100000.0,,,,-166800000.0,-166800000.0,-600000.0,,,-600000.0,0.0,-600000.0,-213000000.0,-213000000.0,,-205200000.0,38200000.0,-243400000.0,-7800000.0,-7800000.0,202500000.0,202500000.0,-28200000.0,-31400000.0,-20100000.0,,,,,,,300000.0,15900000.0,8300000.0,8300000.0,207400000.0,16100000.0,400000.0,,,,,23300000.0,,,,,,,,,,,,,,,8300000.0,,,,,,0.0,,-1200000.0,,,,,,,,,,,,,,,,,,,,,
VRSN,2025-03-31,285500000.0,-241700000.0,-500000000.0,493900000.0,-5800000.0,20000000.0,580800000.0,212100000.0,369000000.0,-239900000.0,-239900000.0,,,,-241700000.0,-241700000.0,-6100000.0,,,-6100000.0,-500000000.0,493900000.0,317600000.0,317600000.0,,323400000.0,358600000.0,-35200000.0,-5800000.0,-5800000.0,291300000.0,291300000.0,68100000.0,6600000.0,200000.0,,,,,,,1100000.0,17500000.0,8900000.0,8900000.0,199300000.0,26200000.0,-300000.0,,,,,61300000.0,,,,,,,,,,,,,,,8900000.0,,,,,,7900000.0,,-3600000.0,,,,,,,,,,,,,,,,,,,,,
VRSN,2024-12-31,222000000.0,-262300000.0,-500000000.0,493900000.0,-9500000.0,43400000.0,212100000.0,272700000.0,-59700000.0,-270500000.0,-270500000.0,,,,-262300000.0,-262300000.0,-6100000.0,,,-6100000.0,-500000000.0,493900000.0,-20700000.0,-20700000.0,,-11200000.0,185500000.0,-196700000.0,-9500000.0,-9500000.0,231500000.0,231500000.0,18300000.0,3000000.0,5800000.0,,,,,,,1500000.0,15900000.0,8800000.0,8800000.0,191500000.0,23300000.0,-900000.0,,,,,9500000.0,,,,,,,,,,,,,,,8800000.0,,,,,,0.0,,-4500000.0,,,,,,,,,,,,,,,,,,,,,
VRSN,2024-09-30,247800000.0,-303100000.0,-500000000.0,493900000.0,-5600000.0,48500000.0,272700000.0,257500000.0,14800000.0,-299100000.0,-299100000.0,,,,-303100000.0,-303100000.0,-6100000.0,,,-6100000.0,-500000000.0,493900000.0,60500000.0,60500000.0,,66100000.0,282000000.0,-215900000.0,-5600000.0,-5600000.0,253400000.0,253400000.0,32300000.0,26900000.0,1000000.0,,,,,,,500000.0,15800000.0,9000000.0,9000000.0,201300000.0,13100000.0,400000.0,,,,,4400000.0,,,,,,,,,,,,,,,9000000.0,,,,,,4000000.0,,-5500000.0,,,,,,,,,,,,,,,,,,,,,
VRSN,2024-06-30,151200000.0,-390300000.0,0.0,0.0,-9200000.0,122500000.0,257500000.0,737200000.0,-479800000.0,-390300000.0,-390300000.0,,,,-390300000.0,-390300000.0,0.0,,,0.0,0.0,0.0,-249900000.0,-249900000.0,,-240700000.0,69600000.0,-310300000.0,-9200000.0,-9200000.0,160400000.0,160400000.0,-58500000.0,-50800000.0,-15100000.0,,,,,,,600000.0,14300000.0,9300000.0,9300000.0,198800000.0,23300000.0,100000.0,,,,,7400000.0,,,,,,,,,,,,,,,9300000.0,,,,,,0.0,,-4100000.0,,,,,,,,,,,,,,,,,,,,,
VRSN,2024-03-31,151200000.0,-390300000.0,0.0,0.0,-9200000.0,122500000.0,257500000.0,737200000.0,-479800000.0,-390300000.0,-390300000.0,,,,-390300000.0,-390300000.0,0.0,,,0.0,0.0,0.0,-249900000.0,-249900000.0,,-240700000.0,69600000.0,-310300000.0,-9200000.0,-9200000.0,160400000.0,160400000.0,-58500000.0,-50800000.0,-15100000.0,,,,,,,600000.0,14300000.0,9300000.0,9300000.0,198800000.0,23300000.0,100000.0,,,,,7400000.0,,,,,,,,,,,,,,,9300000.0,,,,,,0.0,,-4100000.0,,,,,,,,,,,,,,,,,,,,,
