ticker,date,Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Preferred Stock Dividends,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Special Income Charges,Restructuring And Mergern Acquisition,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Other Operating Expenses,Depreciation And Amortization In Income Statement,Amortization,Total Revenue,Operating Revenue,Loss Adjustment Expense,Net Policyholder Benefits And Claims,Normalized EBITDA,Reconciled Cost Of Revenue,EBITDA,Total Operating Income As Reported,Other Non Operating Income Expenses,Operating Income,Operating Expense,Depreciation Amortization Depletion Income Statement,Amortization Of Intangibles Income Statement,Research And Development,Selling General And Administration,Gross Profit,Cost Of Revenue,Minority Interests,Write Off,Gain On Sale Of Security,General And Administrative Expense,Other Gand A,Interest Income,Otherunder Preferred Stock Dividend,Net Income Discontinuous Operations,Gain On Sale Of Business,Impairment Of Capital Assets,Earnings From Equity Interest,Interest Income Non Operating,Selling And Marketing Expense,Rent Expense Supplemental,Gain On Sale Of Ppe,Other Special Charges,Total Other Finance Cost,Other Taxes,Earnings From Equity Interest Net Of Tax,Depreciation Income Statement,Salaries And Wages,Excise Taxes,Average Dilution Earnings,Insurance And Claims,Rent And Landing Fees,Occupancy And Equipment,Professional Expense And Contract Services Expense,Other Non Interest Expense,Provision For Doubtful Accounts,Securities Amortization,Policyholder Benefits Gross,Net Income From Tax Loss Carryforward,Depletion Income Statement,Net Income Extraordinary,Policyholder Benefits Ceded
WELL,2025-06-30,-68738.623065,0.003531,-19467000.0,-19467000.0,301888000.0,508346000.0,439370000.0,-141157000.0,141157000.0,321286261.376935,301888000.0,2072809000.0,668140000.0,656593000.0,0.45,0.46,302803000.0,301888000.0,,301888000.0,304618000.0,304618000.0,1053000.0,298213000.0,-3962000.0,-19876000.0,,-141157000.0,141157000.0,,495036000.0,,2516141000.0,2516141000.0,,,967183000.0,1501401000.0,947716000.0,,15505000.0,443332000.0,558098000.0,495036000.0,,,64175000.0,1001430000.0,1514711000.0,-2730000.0,19876000.0,409000.0,64175000.0,64175000.0,,,,,,,,,,,,,,7458000.0,,,,915000.0,,,,,,-1113000.0,,,,,,
WELL,2025-03-31,-11623080.0,0.21,-55348000.0,-55348000.0,257957000.0,499638000.0,343669000.0,-144962000.0,144962000.0,301681920.0,257957000.0,2010010000.0,653795000.0,643393000.0,0.4,0.4,258907000.0,257957000.0,,257957000.0,257266000.0,257266000.0,-5519000.0,198707000.0,-34908000.0,-58558000.0,,-144962000.0,144962000.0,,485869000.0,,2388587000.0,2388587000.0,,,898655000.0,1448621000.0,843307000.0,,20440000.0,378577000.0,547620000.0,485869000.0,,,63758000.0,926197000.0,1462390000.0,691000.0,52402000.0,3210000.0,63758000.0,63758000.0,,,,,,,,,,,6156000.0,,,53040000.0,,,,950000.0,,,,,,-2007000.0,,,,,,
WELL,2024-12-31,-15178.363831,0.001044,-14545000.0,-14545000.0,119971000.0,484615000.0,263712000.0,-154469000.0,154469000.0,134500821.636169,119971000.0,1938168000.0,634259000.0,625675000.0,0.19,0.19,120436000.0,119971000.0,,119971000.0,123753000.0,123753000.0,114000.0,109243000.0,-17355000.0,-23647000.0,,-154469000.0,154469000.0,,480406000.0,,2219235000.0,2219235000.0,,,762872000.0,1405091000.0,748327000.0,,-2810000.0,281067000.0,528868000.0,480406000.0,,,48707000.0,809935000.0,1409300000.0,-3782000.0,23647000.0,9102000.0,48707000.0,48707000.0,,,,,,,,,,,0.0,,,14624000.0,,,,465000.0,,,,,,-245000.0,,,,,,
WELL,2024-09-30,-2926140.0,0.21,-13934000.0,-13934000.0,449849000.0,418990000.0,322916000.0,-139050000.0,139050000.0,460856860.0,449849000.0,1698574000.0,618306000.0,611290000.0,0.73,0.74,451070000.0,449849000.0,,449849000.0,456800000.0,456800000.0,-4706000.0,183866000.0,10434000.0,-23840000.0,,-139050000.0,139050000.0,,403779000.0,,2011056000.0,2011056000.0,,,755840000.0,1197490000.0,741906000.0,,24368000.0,312482000.0,485873000.0,403779000.0,,,77901000.0,798355000.0,1212701000.0,-6951000.0,23421000.0,9906000.0,77901000.0,77901000.0,,,,,,,,,,,419000.0,,,268228000.0,,,,1221000.0,,,,,,4193000.0,,,,,,
WELL,2024-06-30,21013.866773,0.012175,1726000.0,1726000.0,254714000.0,397065000.0,223856000.0,-133424000.0,133424000.0,253009013.866773,254714000.0,1554070000.0,604563000.0,600545000.0,0.42,0.42,255053000.0,254714000.0,,254714000.0,260670000.0,260670000.0,1101000.0,90432000.0,-14811000.0,-4099000.0,,-133424000.0,133424000.0,,382045000.0,,1792737000.0,1792737000.0,,,619195000.0,1096277000.0,620921000.0,,-16537000.0,238667000.0,442773000.0,382045000.0,,,55565000.0,681440000.0,1111297000.0,-5956000.0,2394000.0,5825000.0,55565000.0,55565000.0,,,,,,,,,,,1705000.0,,,171339000.0,,,,339000.0,,,,,,5163000.0,,,166443000.0,,,
WELL,2024-03-31,21013.866773,0.012175,1726000.0,1726000.0,254714000.0,397065000.0,223856000.0,-133424000.0,133424000.0,253009013.866773,254714000.0,1554070000.0,604563000.0,600545000.0,0.42,0.42,255053000.0,254714000.0,,254714000.0,260670000.0,260670000.0,1101000.0,90432000.0,-14811000.0,-4099000.0,,-133424000.0,133424000.0,,382045000.0,,1792737000.0,1792737000.0,,,619195000.0,1096277000.0,620921000.0,,-16537000.0,238667000.0,442773000.0,382045000.0,,,55565000.0,681440000.0,1111297000.0,-5956000.0,2394000.0,5825000.0,55565000.0,55565000.0,,,,,,,,,,,6000.0,,,171339000.0,,,,339000.0,,,,,,5163000.0,,,166443000.0,,,
CEG,2025-06-30,303817753.33857,0.34564,879000000.0,879000000.0,839000000.0,490000000.0,1391000000.0,-118000000.0,118000000.0,263817753.33857,839000000.0,5599000000.0,314000000.0,314000000.0,2.67,2.67,839000000.0,839000000.0,,839000000.0,833000000.0,833000000.0,440000000.0,1273000000.0,889000000.0,,,-118000000.0,118000000.0,449000000.0,254000000.0,,6101000000.0,6101000000.0,,,1002000000.0,4513000000.0,1881000000.0,951000000.0,10000000.0,502000000.0,850000000.0,254000000.0,,,,1352000000.0,4749000000.0,6000000.0,,879000000.0,,,,,,,,,,,,,,,147000000.0,0.0,,,,,,,,,,,,,,,,
CEG,2025-03-31,-10366000.0,0.146,-71000000.0,-71000000.0,118000000.0,480000000.0,297000000.0,-146000000.0,146000000.0,178634000.0,118000000.0,6440000000.0,314000000.0,313000000.0,0.38,0.38,118000000.0,118000000.0,,118000000.0,129000000.0,129000000.0,22000000.0,151000000.0,-51000000.0,,,-146000000.0,146000000.0,103000000.0,248000000.0,,6788000000.0,6788000000.0,,,848000000.0,5697000000.0,777000000.0,451000000.0,20000000.0,348000000.0,511000000.0,248000000.0,,,,859000000.0,5929000000.0,-11000000.0,,-71000000.0,,,,,,,,,,,,,,,160000000.0,0.0,,,,,,,,,,,,,,,,
CEG,2024-12-31,1362048.894063,0.006985,195000000.0,195000000.0,852000000.0,483000000.0,949000000.0,-90000000.0,90000000.0,658362048.894063,852000000.0,4674000000.0,314000000.0,314000000.0,2.71,2.72,852000000.0,852000000.0,,852000000.0,850000000.0,850000000.0,6000000.0,859000000.0,241000000.0,69000000.0,,-90000000.0,90000000.0,195000000.0,255000000.0,,5382000000.0,5382000000.0,,,1237000000.0,3856000000.0,1432000000.0,972000000.0,46000000.0,708000000.0,590000000.0,255000000.0,,,,1298000000.0,4084000000.0,2000000.0,,126000000.0,,,,,,,,,,,,69000000.0,,,140000000.0,-3000000.0,,,,,,,,,,,,,,,,
CEG,2024-09-30,-27846000.0,0.273,-102000000.0,-102000000.0,1200000000.0,489000000.0,1792000000.0,-147000000.0,147000000.0,1274154000.0,1200000000.0,4670000000.0,314000000.0,313000000.0,3.82,3.83,1200000000.0,1200000000.0,,1200000000.0,1196000000.0,1196000000.0,449000000.0,1645000000.0,-88000000.0,2000000.0,,-147000000.0,147000000.0,-415000000.0,266000000.0,,6550000000.0,6550000000.0,,,2383000000.0,4431000000.0,2281000000.0,1467000000.0,14000000.0,1880000000.0,16000000.0,266000000.0,,,,1896000000.0,4654000000.0,4000000.0,,-104000000.0,,,,,,,,,,,,2000000.0,,,165000000.0,0.0,,,,,,,,,,,,,,,,
