iter	Logloss
0	0.6694339592
1	0.6483707999
2	0.6328021295
3	0.6188438096
4	0.5995247207
5	0.5832996939
6	0.5675097711
7	0.5511188164
8	0.5398445358
9	0.5260469814
10	0.5128605094
11	0.5039678334
12	0.491223044
13	0.4829272424
14	0.4719414625
15	0.4643317126
16	0.4547672386
17	0.4440674925
18	0.4353836882
19	0.4270576888
20	0.4215039008
21	0.4158295957
22	0.4100465146
23	0.4039444152
24	0.3989943544
25	0.3931143298
26	0.3877720633
27	0.3817862094
28	0.3770051831
29	0.3719679553
30	0.3668169033
31	0.3598546239
32	0.3551959649
33	0.3516682379
34	0.348473646
35	0.3464031562
36	0.3433226854
37	0.3398084127
38	0.3359483502
39	0.3312867673
40	0.3293139292
41	0.3258326182
42	0.3200258266
43	0.314026016
44	0.3108287514
45	0.3083546804
46	0.3032713793
47	0.3000885741
48	0.2972423987
49	0.2930109401
50	0.2871691767
51	0.2845483654
52	0.2822957524
53	0.2787693503
54	0.2761428742
55	0.2732901659
56	0.2705007313
57	0.265455029
58	0.263300159
59	0.2595819028
60	0.2577492491
61	0.2542769381
62	0.251376626
63	0.2495619266
64	0.2466060387
65	0.2438056626
66	0.2404113815
67	0.2371433281
68	0.2324712148
69	0.2306517184
70	0.2294207818
71	0.2258495171
72	0.2240373532
73	0.2204383576
74	0.2193301538
75	0.2168070856
76	0.215039099
77	0.2129075741
78	0.2102869913
79	0.2085972175
80	0.2058147042
81	0.2030763455
82	0.2001488509
83	0.1988248768
84	0.1966037179
85	0.1935962974
86	0.1915769634
87	0.1902139401
88	0.188354081
89	0.1865997086
90	0.1835030653
91	0.1826085416
92	0.181566364
93	0.1808469852
94	0.1789405503
95	0.1779927693
96	0.1762419375
97	0.1756931922
98	0.1740763087
99	0.1723906466
100	0.170598013
101	0.1699135146
102	0.1689232238
103	0.1675209685
104	0.166158048
105	0.1647256634
106	0.1640490686
107	0.1627110921
108	0.1614718751
109	0.1596776997
110	0.1591707332
111	0.1577389083
112	0.1561350337
113	0.1542843573
114	0.1521616496
115	0.1507446152
116	0.1489549511
117	0.1479995636
118	0.1469685332
119	0.1456060352
120	0.1449582905
121	0.1431653143
122	0.1411206137
123	0.1403150387
124	0.1390726466
125	0.1368490665
126	0.1360749799
127	0.1345680602
128	0.1328987761
129	0.1322202625
130	0.1311549341
131	0.1300472556
132	0.1288584292
133	0.1280572286
134	0.1273543649
135	0.1260948638
136	0.124861563
137	0.1235046387
138	0.1219727179
139	0.1209659691
140	0.1198504328
141	0.1189466693
142	0.1181367429
143	0.1177525092
144	0.1164982276
145	0.1156303497
146	0.1146382543
147	0.1140165043
148	0.1129464018
149	0.1118547816
150	0.1110682573
151	0.1097508962
152	0.1082675728
153	0.1077136879
154	0.107022748
155	0.1064425371
156	0.1059551467
157	0.1050871546
158	0.1040037121
159	0.1026506481
160	0.1013875721
161	0.10094742
162	0.09947899002
163	0.09936700467
164	0.0977387571
165	0.09650587893
166	0.09515179845
167	0.09384290044
168	0.09377874728
169	0.09316090338
170	0.09229412193
171	0.0917285074
172	0.09048296306
173	0.08990955353
174	0.08909179779
175	0.08812555439
176	0.08797332056
177	0.08729130636
178	0.08592619296
179	0.08477907695
180	0.0841984549
181	0.0832798895
